id,name,description,createdBy,projectLogs,projectState,taskStates,projectStates
c5600614-1b56-4160-b699-ecffaa8dfb6a,Israa,hddjdjd,Mohamed,User Mohamed create PROJECT Israa  at 2025/05/03 7:21 AM,todo,todo|inprogress|done,todo|test,
ad4b08e8-4d35-4ab1-b582-96e3fd3be551,hhdfjf,hghgjgjg,Mohamed,User Mohamed CREATE PROJECT hhdfjf  at 2025/05/03 7:27 AM,gkgkg,hfhf|hgjg|gogg,hhg|gkgkg|glggl,
1726325a-6ddd-428e-99fe-50709ed7e940,ABC,hfhfhfhhfhfhfhfhhfhf fjhfjjjfjfj,Mohamed,User Mohamed create project hghgk  at 2025/05/03 7:29 AM|User Mohamed update project hghgk name from hghgk to ABC at 2025/05/03 10:07 AM|User Mohamed update project hghgk description from fkgkgkkg to project updated to ABC at 2025/05/03 10:07 AM|User Mohamed update project ABC description from project updated to ABC to hfhfhfhhfhfhfhfhhfhf fjhfjjjfjfj at 2025/05/03 10:19 AM,jjf,jjfjf,jjf|fkkf|kfkf,
64d82716-d132-4fd5-83d0-34a98b0af021,Plane Mate,jfjjfjfj,Mohamed,User Mohamed create project hfjjfjf  at 2025/05/03 10:22 AM|User Mohamed update project hfjjfjf name from hfjjfjf to Plane Mate at 2025/05/04 1:31 PM,fkfkf,jfjjf|fkfkf|kfkkf,jfjjf|fkfkf|fkfkf,
4251ec33-9722-4783-964f-422f65cd8256,hfhfh,fjjfjfjf,Mohamed,User Mohamed create project hfhfh  at 2025/05/03 11:21 AM,fkkf,jfjf|jfjf|ififf,hfhf|fkkf|fiff,
64d82716-d132-4fd5-83d0-34a98b0af021,New Name,new desc,Mohamed,User Mohamed create project hfjjfjf  at 2025/05/03 10:22 AM|User Mohamed update project hfjjfjf name from hfjjfjf to New Name at 2025/05/03 10:42 AM|User Mohamed update project hfjjfjf description from jfjjfjfj to new desc at 2025/05/03 10:42 AM,fkfkf,jfjjf|fkfkf|kfkkf,jfjjf|fkfkf|fkfkf,
363f0444-91e9-453e-9376-f68770d517cd,AAAAAA,grfh,Mohamed,User Mohamed create project AAAAAA  at 2025/05/03 11:13 AM|User Mohamed update project AAAAAA description from AAAAAAAAA to grfh at 2025/05/04 3:06 PM|User Mohamed update project AAAAAA project state from AAA to AAAA at 2025/05/04 3:06 PM,AAAA,AAAA|AAAAAAa|a,AAA|AAAA|AAAAAA,
26fb5810-951e-4913-aae8-1d36d72d85eb,GOGO,fkkkf,Mohamed,User Mohamed create project jfjjf  at 2025/05/03 11:55 AM|User Mohamed update project jfjjf name from jfjjf to GOGO at 2025/05/03 12:29 PM,kfkkf,fkkfkf,fkkfkf|kfkkf|fkff,
363f0444-91e9-453e-9376-f68770d517cd,DDDDDDDDD,AAAAAAAAA,Mohamed,User Mohamed create project AAAAAA  at 2025/05/03 11:13 AM|User Mohamed update project AAAAAA name from AAAAAA to DDDDDDDDD at 2025/05/03 12:19 PM,AAA,AAAA|AAAAAAa|a,AAA|AAAA|AAAAAA,
b6ce54f2-fc10-43bd-a910-081b9250990b,Elhady,no name,Mohamed,User Mohamed create project Elhady  at 2025/05/04 3:01 PM,DONE,TODO|PROGRESS,DONE|,
ba537902-e411-4c20-8357-368501a47ad7,islam,islam elhady,Mohamed,User Mohamed create project islam  at 2025/05/04 3:38 PM,N,elhady|elhady|elhady,R|N|D,
960c37fe-aeb6-4da9-94a8-9fe711518588,ISLAM ELHADY PROJECT,The desc is elhady,Mohamed,User Mohamed create project ISLAM ELHADY PROJECT  at 2025/05/04 3:50 PM,Mousa,Islam|Nada|Sarah|Jannat,Mohamed|Tarek|Mousa,b80c1253-b8d5-4146-8624-b66573511d36,Islam,Islam and,Mohamed,User Mohamed create project Islam  at 2025/05/06 11:11 PM,owo,siwow||ssow|ow|wo,owo|owo|iw|owo|oswo,
 
3d089225-375c-453e-82e8-d9dd7e592d40,iwow,owowo,Mohamed,User Mohamed create project iwow  at 2025/05/06 11:15 PM,wo,woio|owo|wiiw,woo|wio|wo|,
 
